k,xzero,xt,ComponentA,ComponentB,Fatigue
2.023655617,0.0532952604,0.5058447734,0.4941552266,1.023655617,0.4526207489
0.5343612775,0.1317917345,0.0,1.0,0.0,0.1317917345
0.834508318,0.4092474361,1.4e-09,0.9999999983,1.4e-09,0.4092474347
0.9181740165,0.6057311533,1.20425e-05,0.9999868841,1.20427e-05,0.6057191108
3.3372393332,0.9119131615,0.4686243264,0.1689754549,2.7733277987,35.5993301425
3.0611322677,0.1240754215,0.7447117342,0.41802335,1.7815075024,11.3262023078
1.8480158702,0.0499914244,0.4588791059,0.5411208941,0.8480158702,0.4088876815
1.7377682268,0.7171071751,0.4245492669,0.5754507331,0.7377682268,0.4365935657
3.629348489,0.5543708791,0.3054762088,0.092775654,3.2926333092,40.940252354
2.776453833,0.2429947107,0.6398283349,0.3601716651,1.776453833,0.9010726814
0.8854458219,0.3596206936,4.087e-07,0.9999995385,4.087e-07,0.359620285
1.7876633195,0.9722077964,0.4406105506,0.5593894494,0.7876633195,1.3162137469
1.1668912353,0.2148554286,0.1430221008,0.8569778991,0.166891236,0.0718333278
0.947281985,0.7565834221,0.0001830151,0.9998067624,0.0001830505,0.756400407
2.2315396911,0.0664626606,0.5518789094,0.4481210906,1.2315396911,0.4872676496
3.0238571032,0.9065831373,0.6139989916,0.2833241814,2.1671252647,11.8189324935
1.0266308698,0.5575245142,0.0275427861,0.9724104947,0.0283242378,0.5299817281
3.9647407758,0.2304622323,0.7837711543,0.2712760322,2.8892016293,40.697960915
0.1108501789,0.3338089982,0.0,1.0,0.0,0.3338089982
3.5689874743,0.9050049801,0.809113684,0.6526211412,1.2397907958,40.8900154398
3.2693897008,0.3421580246,0.4889213328,0.1830538495,2.6709153307,31.904011613
2.434417334,0.0101615817,0.5892240882,0.4107759118,1.434417334,0.6496174614
1.009189459,0.5070042809,0.0145903909,0.9853271742,0.0148076612,0.49241389
0.8525583794,0.9355462457,5.2e-09,0.9999999938,5.2e-09,0.9355462405
2.4642055546,0.854669179,0.5941896981,0.4058103019,1.4642055546,0.9162826423
0.9794717046,0.9442432152,0.0020481411,0.9979045419,0.0020524419,0.942195074
3.7255479262,0.527654626,0.8282186458,0.6664095074,1.2428073679,35.2820041798
1.3103648421,0.9367675985,0.2368537617,0.7631462383,0.3103648421,1.0183848881
3.5319957226,0.5781424194,0.5180734731,0.1785658643,2.9013018536,41.8172102575
2.4018340461,0.5534743295,0.583651501,0.416348499,1.4018340461,0.0640770571
1.5221491616,0.6123337073,0.3430341617,0.6569658383,0.5221491616,0.2692995456
0.0285124418,0.3612334738,0.0,1.0,0.0,0.3612334738
1.2504966923,0.253492862,0.2003177568,0.7996822432,0.2504966923,0.0531751052
3.9974830224,0.9941495686,0.0353287154,0.0089172574,3.9618364372,43.5607497905
0.9537011947,0.8603338325,0.0002958869,0.9996896526,0.0002959787,0.8600379456
2.1844387352,0.3137758808,0.5422165045,0.4577834955,1.1844387352,0.2333001011
0.7546076482,0.089486177,0.0,1.0,0.0,0.089486177
2.914727753,0.8156832086,0.6569234062,0.3430946418,1.9147002787,1.9552758513
1.4774832324,0.0482669723,0.323173368,0.676826632,0.4774832324,0.2749063957
0.4524817854,0.4807900865,0.0,1.0,0.0,0.4807900865
2.7519958174,0.5801400353,0.6366273547,0.3633726453,1.7519958174,0.3398864599
2.0876760419,0.0036091163,0.5209984787,0.4790015213,1.0876760419,0.5185856949
1.1268106031,0.9749087434,0.1125387874,0.8874613034,0.1268097966,1.0323201577
2.3461694592,0.3708563627,0.5737733282,0.4262266718,1.3461694592,0.2261984323
0.8335007341,0.0283394008,3e-10,0.9999999996,3e-10,0.0283394005
3.9608359916,0.9206514025,0.1463818994,0.9615654622,0.1522329005,47.8290215673
1.7631197854,0.4563936651,0.4328235618,0.5671764382,0.7631197854,0.0235701033
1.5744989411,0.1535479617,0.3648773118,0.6351226882,0.5744989411,0.2113293502
0.0355163396,0.1729538389,0.0,1.0,0.0,0.1729538389
0.9303564851,0.6155992412,3.95015e-05,0.9999575398,3.95032e-05,0.6155597398
2.7852017594,0.0172744221,0.6409595834,0.3590404166,1.7852017594,0.9355576422
3.3188204166,0.1253984795,0.8274395017,0.5261276275,1.5726973048,34.8443381301
1.7468961583,0.11505869,0.4275561285,0.5724438715,0.7468961583,0.3124974385
1.0023096755,0.2638628947,0.0104977539,0.9894143813,0.010610068,0.2533651408
2.4215852717,0.1839615472,0.5870473728,0.4129526272,1.4215852717,0.4367244851
3.3623027428,0.3208966568,0.4617569921,0.164341775,2.8097359418,36.1638773157
3.7409546171,0.3172626931,0.6560799931,0.7731708372,0.848557604,38.5575012459
3.6299454099,0.1681532906,0.7696642572,0.6948540232,1.107663238,35.5731556123
2.7030735677,0.7229809063,0.6300507644,0.3699492356,1.7030735677,0.5618888925
0.8839123362,0.4943845176,3.553e-07,0.9999995981,3.553e-07,0.4943841623
2.286185414,0.6986595893,0.5625901583,0.4374098417,1.286185414,0.3218570415
1.1825324801,0.5600426065,0.1543572657,0.8456427342,0.1825324803,0.4056853408
1.6411163337,0.4848010811,0.3906586758,0.6093413242,0.6411163337,0.0941424053
2.4237802127,0.6085285198,0.5874213368,0.4125786632,1.4237802127,0.0551695816
1.5142268807,0.4279461339,0.3395969833,0.6604030167,0.5142268807,0.0883491507
2.6763284468,0.4378931873,0.6263537828,0.3736462172,1.6763284468,0.398314859
3.466203377,0.7732979438,0.8643431961,0.5252370105,1.6456250776,40.3868750786
2.7220413527,0.0321753472,0.6326286524,0.3673713476,1.7220413527,0.9181738258
1.3308063081,0.0221731561,0.2485758491,0.7514241509,0.3308063081,0.226402693
1.1757015908,0.8029668699,0.1494440361,0.8505559639,0.175701591,0.6535228338
3.8490889705,0.1829306126,0.1529552112,0.0414566864,3.6895184962,53.2336149821
3.1067744564,0.3893816436,0.5543663096,0.2324890656,2.3844833662,20.9981272651
3.515631622,0.5798315297,0.3750606403,0.1214286256,3.0887333058,41.1735344696
1.851618975,0.5307669842,0.4599320846,0.5400679154,0.851618975,0.0708348996
0.5927277048,0.0474384508,0.0,1.0,0.0,0.0474384508
0.5639914118,0.1208649822,0.0,1.0,0.0,0.1208649822
0.4078933896,0.7116273208,0.0,1.0,0.0,0.7116273208
1.3404025542,0.8615036195,0.2539554652,0.7460445348,0.3404025542,0.7955984664
0.9396908817,0.8386999098,8.40737e-05,0.9999105225,8.40812e-05,0.8386158361
0.0476157048,0.4111906108,0.0,1.0,0.0,0.4111906108
1.7243608911,0.3422511876,0.4200749941,0.5799250059,0.7243608911,0.0778238064
0.5445024344,0.0779331591,0.0,1.0,0.0,0.0779331591
3.1746543619,0.8742362331,0.7919823641,0.4769874431,1.6603840952,26.0783049404
0.618202585,0.5816288991,0.0,1.0,0.0,0.5816288991
1.5603388803,0.078968867,0.3591135793,0.6408864207,0.5603388803,0.2801447123
3.5895136708,0.0277546911,0.3933988593,0.125295719,3.1397629746,41.5903488042
0.5391775312,0.5589425159,0.0,1.0,0.0,0.5589425159
0.3609207562,0.437289794,0.0,1.0,0.0,0.437289794
2.604204564,0.0471665783,0.6160055881,0.3839944119,1.604204564,0.7536891373
0.8652025957,0.4139719128,4.62e-08,0.9999999466,4.62e-08,0.4139718666
0.3468790796,0.5363391862,0.0,1.0,0.0,0.5363391862
2.4320407042,0.8898339357,0.5888226713,0.4111773287,1.4320407042,1.0410142385
2.7904377457,0.5697782183,0.641633288,0.358366712,1.7904377457,0.4932070301
0.1974417306,0.2888517467,0.0,1.0,0.0,0.2888517467
3.7048004366,0.3715343597,0.6475610804,0.2257550973,2.8684228535,34.3168614796
0.3928334488,0.0847984551,0.0,1.0,0.0,0.0847984551
3.7845574244,0.2526919776,0.2007628671,0.0562071558,3.5718382156,38.6318295184
0.9418729926,0.5336477379,0.0001176469,0.999875077,0.0001176616,0.533530091
1.8281942939,0.6335346009,0.4530121862,0.5469878138,0.8281942939,0.2376484954
0.1140307668,0.0988943319,0.0,1.0,0.0,0.0988943319
3.6808201164,0.4510217903,0.8246474363,0.6611240255,1.247341504,33.5799443947
1.7671149614,0.9560563246,0.4341058608,0.5658941392,0.7671149614,1.2416798954
2.5916150788,0.6251818222,0.6141402293,0.3858597707,1.5916150788,0.0441279304
3.9433668944,0.2179377801,0.9039100754,0.6441425672,1.4032764195,47.1427683564
2.702566958,0.5637503116,0.6299814156,0.3700185844,1.702566958,0.3106638443
2.8876028393,0.4628993612,0.6536915522,0.3463075219,1.8876042557,1.3077072999
1.0232015659,0.2944028665,0.024725383,0.975221292,0.0253536128,0.2696774835
0.7355489402,0.9363327822,0.0,1.0,0.0,0.9363327822
2.7736652729,0.5108675255,0.6394662291,0.3605337709,1.7736652729,0.6238275097
0.9481268781,0.2187973157,0.0001946316,0.9997946777,0.0001946716,0.2186026841
2.5694965195,0.5759324518,0.6108186984,0.3891813016,1.5694965195,0.1150215628
3.0781712534,0.6100071923,0.5707205601,0.2458523452,2.321395632,17.8485709511
1.4556266795,0.4619455367,0.3130106681,0.6869893319,0.4556266795,0.1489348686
1.5929960856,0.069599847,0.372252067,0.627747933,0.5929960856,0.30265222
0.8025489616,0.4596222661,0.0,1.0,0.0,0.4596222661
1.6752671723,0.1730465656,0.4030802868,0.5969197132,0.6752671723,0.2300337212
1.9685407095,0.0729455902,0.4920094895,0.5079905105,0.9685407095,0.4190638993
0.1203466514,0.1852736644,0.0,1.0,0.0,0.1852736644
1.6641373191,0.8344720421,0.3990880509,0.6009119491,0.6641373191,0.7738306659
1.1227346692,0.5694305841,0.1093177434,0.8906822378,0.1227348416,0.4601128408
1.6582365863,0.1603779398,0.3969497427,0.6030502573,0.6582365863,0.2365718029
2.9397837631,0.5877361561,0.6597409742,0.3400568784,1.9400900736,1.7095072815
2.2677492627,0.5976677305,0.5590341417,0.4409658583,1.2677492627,0.0750245755
2.1978398753,0.6926163762,0.5450078,0.4549922,1.1978398753,0.3072741478
3.5302118338,0.2060329789,0.82170991,0.6312819744,1.3016527373,41.6501565127
0.7078902057,0.5235449457,0.0,1.0,0.0,0.5235449457
2.5405651924,0.5555186398,0.6063867981,0.3936132019,1.5405651924,0.1454225786
3.4648686467,0.5509498602,0.4733023526,0.1632513903,2.8992240228,41.0181505263
2.2347194602,0.1567952302,0.5525165383,0.4474834617,1.2347194602,0.4048138219
0.1648886489,0.2851933872,0.0,1.0,0.0,0.2851933872
1.1558582619,0.9011520267,0.1348420169,0.8651579835,0.1558582588,0.8300731519
2.1227670983,0.1427981872,0.5289167611,0.4710832389,1.1227670983,0.3893790044
2.4437474192,0.6887642999,0.5907924067,0.4092075933,1.4437474192,0.3017186573
0.6934960314,0.5465100468,0.0,1.0,0.0,0.5465100468
3.5266192293,0.3087705831,0.5154182422,0.1777435894,2.899785269,40.4916218586
0.6521358739,0.2167848612,0.0,1.0,0.0,0.2167848612
2.4290643288,0.3930098285,0.5883188485,0.4116811515,1.4290643288,0.2080480268
2.7360372827,0.4922077087,0.6345079044,0.3654920956,1.7360372827,0.5359008393
1.5535168747,0.4592436669,0.3562992354,0.6437007646,0.5535168747,0.1029444314
1.4023367529,0.582751572,0.28690452,0.71309548,0.4023367529,0.2958470521
0.9078148175,0.8539910253,3.4383e-06,0.9999962126,3.4383e-06,0.8539875871
0.0289047804,0.074660922,0.0,1.0,0.0,0.074660922
2.4735985368,0.7221749252,0.5957306794,0.4042693206,1.4735985368,0.4149865773
3.3707374694,0.6051959744,0.4595121511,0.1628411677,2.821842644,37.4282624574
1.3820946776,0.5998414501,0.2764605666,0.7235394334,0.3820946776,0.3233808836
2.4477652575,0.5005913123,0.5914640928,0.4085359072,1.4477652575,0.167962253
1.6451006108,0.7899801661,0.3921344424,0.6078655576,0.6451006108,0.6362323779
2.7108183026,0.4510044128,0.6311076995,0.3688923005,1.7108183026,0.4717639226
3.4591820522,0.6135899758,0.4142458746,0.1391018854,2.9780033069,40.6107544036
0.3019471058,0.7329644522,0.0,1.0,0.0,0.7329644522
3.0043068756,0.7659760781,0.6939759209,0.3621366133,1.9163373585,8.1858871809
2.9314781382,0.5622058221,0.6588284508,0.341074695,1.9316251264,1.7829950184
2.9342874783,0.1397439022,0.6592156282,0.3408130784,1.9342439299,0.849744426
2.6250890021,0.0854053842,0.619060535,0.380939465,1.6250890021,0.6643316092
1.2871457456,0.7912327604,0.2230872041,0.7769127959,0.2871457456,0.5890895392
2.9381287918,0.4808473185,0.6595462943,0.3402450218,1.9384450971,2.2438955526
3.4316219361,0.5218165368,0.44441036,0.152875331,2.907011597,40.2238855776
2.604999345,0.4020758596,0.6161227442,0.3838772558,1.604999345,0.2663777402
2.4755529357,0.2075103935,0.5960498418,0.4039501582,1.4755529357,0.3941823122
1.5910866853,0.1761227896,0.3714987315,0.6285012685,0.5910866853,0.1953759418
0.2506706007,0.9349918638,0.0,1.0,0.0,0.9349918638
1.6116865105,0.8001093322,0.3795319416,0.6204680584,0.6116865105,0.6641130799
3.8261074924,0.5361924336,0.824558481,0.6857190182,1.2024728193,42.631233838
0.5200531547,0.6102552811,0.0,1.0,0.0,0.6102552811
2.7928817217,0.5206227963,0.6419468851,0.3580531149,1.7928817217,0.6742239813
1.4037650705,0.4680770576,0.2876300878,0.7123699122,0.4037650705,0.1804469698
3.0420025675,0.1846301421,0.7320914492,0.4033616163,1.8149754952,14.3203085657
2.2289897712,0.3083669243,0.5513662678,0.4486337322,1.2289897712,0.2548659873
1.0740303349,0.5008451165,0.0689501325,0.9310480655,0.0740564693,0.431894984
