k,xzero,xt,ComponentA,ComponentB,Fatigue
3.6815737264,0.5060908425,0.7254138787,0.7301324092,0.9935374317,29.570638351
3.9489751667,0.5746382709,0.9789577672,0.5458069003,1.7935972717,45.6442530548
3.9091820692,0.1122254281,0.5314921767,0.1623018276,3.2747146747,44.3426797949
3.934126827,0.5294295389,0.9835266468,0.4988659084,1.9715250738,41.2606589082
3.7035292037,0.3005216386,0.481202679,0.1534900363,3.1350743719,29.8764411148
3.9698720818,0.026762856,0.2243163141,0.0601189599,3.7312075013,40.2119531816
3.6018550254,0.2114460186,0.8072135267,0.6609021476,1.2213813038,42.0323271081
3.9720778192,0.2172230853,0.4793953496,0.8595951492,0.5576989936,41.3234453185
3.6437255747,0.0979490897,0.8285885198,0.6503281039,1.2741084306,39.7676943749
3.6567212433,0.1865743448,0.884720687,0.4102431359,2.1565764535,40.1841913112
3.966619539,0.3903866038,0.0436189857,0.0111201718,3.9225100482,46.1932469653
3.9223497479,0.7905967071,0.8920267065,0.6502614021,1.3717971013,48.8251695408
3.7249647583,0.6060067805,0.5948280493,0.1994786083,2.9819139724,35.514677533
3.9653713164,0.7801128119,0.4001656629,0.1138848029,3.5137757854,44.3613548486
3.6847270363,0.2178383497,0.8438613657,0.3551413722,2.3761280206,30.6794420306
3.6076431097,0.8968180509,0.8988998502,0.5288893884,1.699598952,42.1237966132
3.9151227664,0.4038206669,0.5910081508,0.185286166,3.1897046795,47.5235101655
3.8731111746,0.8439642714,0.5503575441,0.8284858948,0.6642931975,50.0886915148
3.9741728041,0.4068374034,0.9933553509,0.5068751535,1.9597633539,44.5495405055
3.7245901215,0.5431398632,0.313039075,0.0926261957,3.3795955078,36.4405835527
3.9555388861,0.1612585256,0.3975670513,0.1133592724,3.5071418759,44.8880296512
3.927906769,0.0399363796,0.1847809449,0.049492629,3.7335043367,40.4137911549
3.645636439,0.2419271035,0.8248416581,0.345904258,2.3845952716,37.9183685599
3.9069194806,0.5077726686,0.5115035647,0.154923884,3.3016443403,49.3940853558
3.9280421245,0.1813531145,0.634283863,0.2024698842,3.1327318905,39.124832416
3.7130910961,0.5777666376,0.9246475522,0.4687536359,1.9725661444,29.9682777708
3.9919959432,0.1897650637,0.7757343229,0.7359609657,1.0540427537,40.7364032058
3.6054461682,0.5402040192,0.3205584806,0.0986392121,3.249807799,40.9461937246
3.8713970701,0.9610275209,0.9641122938,0.5310689205,1.8154184072,49.1894207992
3.8503011079,0.8909216504,0.9566361839,0.5392746857,1.7739311882,49.6820150933
