,k,xzero,xt
0,3.9284827489,0.7892280659,0.0810705296
1,3.7106083033,0.0550923058,0.2490518966
2,3.7315695885,0.6647029465,0.8978629621
3,3.9210837335,0.1723653015,0.1293626506
4,3.709049481,0.1096130555,0.3436364446
5,3.6599682916,0.3351858901,0.4146823394
6,3.7075384728,0.8253206582,0.7021890679
7,3.9316097483,0.9520182512,0.6731220871
8,3.8542346336,0.3916681034,0.1576818691
9,3.9157908136,0.7771439604,0.1319069146
10,3.6632492604,0.063010081,0.3187267024
11,3.6278521575,0.2452890265,0.8345358154
12,3.7221970996,0.890640205,0.7640490984
13,3.7522661657,0.8152474558,0.7528510087
14,3.8939712307,0.3942017062,0.9168719459
15,3.9761324177,0.6264253465,0.084745105
16,3.8701406242,0.9983290128,0.8734941628
17,3.7203857474,0.8564614357,0.5833220106
18,3.8714865341,0.3719026364,0.7676837827
19,3.6847063945,0.7757254119,0.7099628697
20,3.904525443,0.9919027838,0.8878960117
21,3.7794058406,0.2017768864,0.7007615395
22,3.9960444179,0.3366399955,0.1567958756
23,3.6825512952,0.7934929855,0.8936489467
24,3.7025717339,0.9668387101,0.7725965939
25,3.87445134,0.3025859654,0.8986628316
26,3.6740806117,0.1329545613,0.8785067689
27,3.9491537673,0.8981078233,0.8313850512
28,3.9075285868,0.8867235399,0.5089578513
29,3.8059803092,0.4098446239,0.3815113811
30,3.6612732994,0.9830082684,0.8100501364
31,3.710120465,0.6856800658,0.9115890174
32,3.7577511496,0.5495090906,0.9125705821
33,3.8315238881,0.0065563874,0.1545904624
34,3.8630613981,0.9789023504,0.7154260634
35,3.624178475,0.734321587,0.7932103585
36,3.6541876316,0.7068548467,0.6803409285
37,3.8168123744,0.6075237818,0.9499682655
38,3.8924235422,0.7251569097,0.1692567512
39,3.8624681583,0.6157993282,0.9615404151
40,3.6802007964,0.8092547852,0.731520458
41,3.6362453519,0.1042113503,0.9085077061
42,3.7681944993,0.7428724192,0.900254768
43,3.9995985295,0.5790692157,0.1430741251
44,3.6419406798,0.2236632983,0.8378917544
45,3.616868942,0.1875597391,0.8005966063
46,3.9435116882,0.4206775468,0.1004901126
47,3.6404339005,0.7303590869,0.8259764161
48,3.9318794345,0.1496078491,0.9182755857
49,3.7507705146,0.3411785442,0.7093464405
50,3.8040308993,0.0795128151,0.7741212876
51,3.6097280987,0.1168726936,0.7907061042
52,3.8367490225,0.2577831024,0.4920219354
53,3.9329649599,0.4380472849,0.0992034946
54,3.6496042665,0.7460370096,0.884288099
55,3.8617061814,0.7754448326,0.9487849458
56,3.9820830649,0.9408103592,0.075038721
57,3.6336773652,0.0019547332,0.303094656
58,3.9175029903,0.9698770603,0.9182414453
59,3.8234765984,0.3983027836,0.5686484267
