k,x_zero,x_t,Component A,Component B,Fatigue
1.5444421007,0.2388686654,0.352517003,0.647482997,0.5444421007,0.1136483376
3.9130837288,0.152472307,0.4473131278,0.131641722,3.3979586483,46.5178983222
2.105086906,0.5855744049,0.5249602298,0.4750397702,1.105086906,0.0912039901
1.2577958996,0.5941346172,0.2049584513,0.7950415487,0.2577958996,0.389176166
1.7825568573,0.5080120139,0.4390080766,0.5609919234,0.7825568573,0.0690039373
2.9752083164,0.2983621721,0.6664412394,0.3387491926,1.9673589015,2.7500930175
2.090916418,0.0291338067,0.5217408064,0.4782591936,1.090916418,0.4926218179
2.2325323098,0.2626801358,0.5520781511,0.4479218489,1.2325323098,0.2918165777
3.2971966332,0.5506777792,0.4802720341,0.1769840864,2.7136452995,34.1651825646
0.5234566889,0.0138297412,0.0,1.0,0.0,0.0138297412
0.1408577877,0.8780101195,0.0,1.0,0.0,0.8780101195
2.9081157849,0.9433397872,0.656132115,0.3438623763,1.9081241805,1.9565702353
2.1712717392,0.9246977189,0.5394404201,0.4605595799,1.1712717392,1.163840975
1.7448098731,0.0864640017,0.4268716521,0.5731283479,0.7448098731,0.3404076504
2.5105462174,0.3603338024,0.6016803064,0.3983196936,1.5105462174,0.2847833601
0.8513852805,0.682525762,9.5e-09,0.9999999888,9.5e-09,0.6825257525
1.3888969117,0.865952,0.280004159,0.719995841,0.3888969117,0.8235122585
2.308018593,0.5256885337,0.5667279271,0.4332720729,1.308018593,0.066800315
0.9659079974,0.3415963868,0.0009357615,0.9990302701,0.0009366699,0.3406606253
2.6066427299,0.7382183331,0.6163647636,0.3836352364,1.6066427299,0.5364465006
3.4014351145,0.2580689967,0.8423913861,0.548397955,1.5360950538,38.308690827
3.3933640039,0.6272152414,0.4536438075,0.1589509887,2.8539854405,38.2519691533
0.9579004877,0.0350981867,0.0002592741,0.9997292576,0.0002593443,0.0348389126
2.1876729118,0.8369247625,0.542893275,0.457106725,1.1876729118,0.783145162
3.5059139075,0.448502873,0.5043942834,0.1742233246,2.8951019308,41.0577464379
2.3853063113,0.4924226981,0.5807666314,0.4192333686,1.3853063113,0.1400811579
3.1046381346,0.8804143735,0.7665952845,0.4444965542,1.7246371816,16.7622371855
2.8850363203,0.150524568,0.6533840308,0.34661622,1.8850359365,0.8273904148
0.0999877446,0.7922310511,0.0,1.0,0.0,0.7922310511
3.8603778495,0.488687664,0.5606451459,0.176319046,3.1797197097,48.2244372389
3.9554288723,0.5545780058,0.6322858166,0.1997545295,3.1653140389,43.6971780834
3.587959072,0.4654473429,0.5664574623,0.1964828634,2.8829865997,41.6474645622
2.0684593243,0.6992767308,0.5165483854,0.4834516146,1.0684593243,0.346783445
3.6715509557,0.1554740476,0.7809613237,0.6931162587,1.1267392936,36.6184438659
2.9731537631,0.3320917903,0.663937339,0.3366316979,1.9722959637,0.6121760161
2.073753868,0.7248669032,0.5177826957,0.4822173043,1.073753868,0.4168707175
3.8658820556,0.7158181239,0.2936794951,0.0828273841,3.5456811578,43.4799593573
0.4247284203,0.6273758467,0.0,1.0,0.0,0.6273758467
3.669145082,0.1068014541,0.8321497382,0.3476734745,2.393480663,33.1915719447
3.6656637508,0.0857162135,0.7426985591,0.7176934295,1.0348409621,32.7160706575
0.5221744889,0.144385812,0.0,1.0,0.0,0.144385812
1.5091148244,0.9217316248,0.3373598988,0.6626401012,0.5091148244,1.0413490823
0.779780597,0.028835638,0.0,1.0,0.0,0.028835638
3.5225632285,0.6930431222,0.371957507,0.1199905983,3.099888759,39.8536523682
1.4270556372,0.6851570566,0.2992564733,0.7007435267,0.4270556372,0.3859005833
0.2100018273,0.9304842007,0.0,1.0,0.0,0.9304842007
0.7707767687,0.4150761399,0.0,1.0,0.0,0.4150761399
1.6518453459,0.438998668,0.3946164497,0.6053835503,0.6518453459,0.0443822183
3.0158412832,0.2167716425,0.708176671,0.3767885795,1.8795067302,10.3430328417
1.8655784553,0.9290066891,0.4639732266,0.5360267734,0.8655784553,1.146897951
2.896697167,0.3510410489,0.6547791333,0.3452206429,1.8966975087,0.4036156041
1.3079214147,0.8672587331,0.2354280703,0.7645719297,0.3079214147,0.8015483009
1.8687494874,0.4862508122,0.4648827964,0.5351172036,0.8687494874,0.0213680159
0.9513336497,0.7719078728,0.000261165,0.9997253995,0.0002612367,0.7716467078
0.2620315355,0.4618978016,0.0,1.0,0.0,0.4618978016
2.2573565299,0.9224597528,0.5570039616,0.4429960384,1.2573565299,1.1738520979
1.241516976,0.9282620655,0.1945337685,0.8054662315,0.241516976,0.9574466222
0.7402063639,0.9238038161,0.0,1.0,0.0,0.9238038161
1.1061594132,0.131441322,0.0959715034,0.904028457,0.1061598257,0.0354698186
1.4917300994,0.2374546272,0.3296374456,0.6703625544,0.4917300994,0.0921828184
1.353252501,0.5261759786,0.261039607,0.738960393,0.353252501,0.2651363716
1.9144916435,0.4877148716,0.4776681301,0.5223318699,0.9144916435,0.0100467415
3.1937924124,0.5189477791,0.5154185506,0.2023111626,2.5476525563,28.220722108
3.2487988049,0.1205577922,0.8121387154,0.5043326431,1.6103235168,30.6451444055
2.1986039658,0.1602240861,0.5451659255,0.4548340745,1.1986039658,0.386457448
0.4596891913,0.4431169254,0.0,1.0,0.0,0.4431169254
2.0221505745,0.208051487,0.5054769844,0.4945230156,1.0221505745,0.2975491218
3.3507243888,0.6869598805,0.46489187,0.1664489413,2.7929998617,34.7518803233
3.1466160669,0.1406363625,0.7827987599,0.4649970393,1.6834489119,24.3406847463
3.4528665189,0.3818918803,0.4236468478,0.1432006785,2.9584136906,40.7648071425
1.4833425618,0.6023215006,0.3258468908,0.6741531092,0.4833425618,0.2764746097
0.0048003558,0.2705857396,0.0,1.0,0.0,0.2705857396
3.286139313,0.166433733,0.8206565723,0.5163481104,1.5893474882,33.6506318775
