k,xzero,xt,ComponentA,ComponentB,Fatigue
2.8889014901,0.5016364638,0.6538471394,0.3461517463,1.8889031944,1.3415476796
0.5010822355,0.5085329603,0.0,1.0,0.0,0.5085329603
2.2445935248,0.771559691,0.5544850375,0.4455149625,1.2445935248,0.5445157969
3.3613847362,0.1627425231,0.8354931783,0.5379967361,1.5529707195,37.2702173929
0.7873199766,0.6468443367,0.0,1.0,0.0,0.6468443367
2.166339274,0.9727988449,0.5383917875,0.4616082125,1.166339274,1.4038719239
3.039849306,0.7222325684,0.7304751447,0.4015103473,1.8193183553,12.9312623125
1.2114826255,0.3541621622,0.1745651329,0.8254348671,0.2114826255,0.1795970293
3.2451846306,0.1510183475,0.8112646532,0.5031157761,1.6124810467,31.3009572549
3.1560209972,0.9977242716,0.7860008484,0.4691461757,1.6753858159,25.775000279
2.6237318809,0.3708146721,0.6188634947,0.3811365053,1.6237318809,0.2698541748
2.5803577907,0.2062268293,0.6124568447,0.3875431553,1.5803577907,0.490201585
3.5831279643,0.5485977301,0.4407859038,0.1436533571,3.0683996035,41.8478823904
3.2337493576,0.7907864241,0.8084352527,0.499196691,1.6194723787,30.6520760095
3.8296261858,0.5035354905,0.9572733342,0.4941021479,1.9373996617,53.2970808728
0.6714856895,0.5615950099,0.0,1.0,0.0,0.5615950099
0.1958790455,0.8198647095,0.0,1.0,0.0,0.8198647095
2.3110699654,0.7004746982,0.5672999888,0.4327000112,1.3110699654,0.3274540394
2.5509433496,0.2775520459,0.6079881585,0.3920118415,1.5509433496,0.4681236375
0.44466695,0.6628855396,0.0,1.0,0.0,0.6628855396
0.4901895201,0.114335585,0.0,1.0,0.0,0.114335585
2.3972651733,0.9496474864,0.5828579954,0.4171420046,1.3972651733,1.3309473272
2.4083382632,0.3175201962,0.5847759365,0.4152240635,1.4083382632,0.3236184311
2.6545814986,0.4268626062,0.6232927863,0.3767072137,1.6545814986,0.3541877403
0.1705735659,0.9723262866,0.0,1.0,0.0,0.9723262866
3.3514408799,0.3688069123,0.4646960399,0.1663169141,2.7940395751,36.5903588495
0.0894337635,0.5404476067,0.0,1.0,0.0,0.5404476067
0.8755199137,0.2738484593,1.337e-07,0.9999998473,1.337e-07,0.2738483256
2.3941706903,0.1165352812,0.5823188363,0.4176811637,1.3941706903,0.4956838375
2.4654031506,0.1684726852,0.5943868248,0.4056131752,1.4654031506,0.4790852759
0.7372349061,0.5156707003,0.0,1.0,0.0,0.5156707003
